price_variant,kind,signal,threshold,dev_n,dev_roi,dev_profit,dev_hit_rate,dev_avg_odds,dev_profitable_seasons,test_n,test_roi,test_profit,test_hit_rate,test_avg_odds,test_profitable_seasons,dev_selection_score
opening_mean,agree_favorite,edge,0.1,51,0.10107843137254903,5.155,0.49019607843137253,2.2890196078431373,4,48,-0.1823958333333333,-8.754999999999999,0.3958333333333333,2.17,1,0.09103960396039604
opening_mean,agree_favorite,edge,0.15,34,0.14264705882352943,4.8500000000000005,0.5,2.3295588235294122,4,27,0.10407407407407414,2.810000000000002,0.5185185185185185,2.2274074074074073,3,0.09773809523809524
opening_mean,agree_favorite,gap,0.01,154,0.038733766233766224,5.964999999999998,0.5194805194805194,2.064285714285714,4,148,-0.10793918918918917,-15.974999999999998,0.4797297297297297,1.999189189189189,0,0.06924019607843136
opening_mean,agree_favorite,gap,0.02,137,-0.0031751824817518285,-0.4350000000000005,0.48905109489051096,2.083978102189781,3,127,-0.14897637795275592,-18.92,0.4566929133858268,2.0203149606299218,0,0.027673796791443845
opening_mean,agree_favorite,gap,0.03,119,-0.043781512605042025,-5.210000000000001,0.47058823529411764,2.082310924369748,2,115,-0.15952173913043477,-18.345,0.4434782608695652,2.0346956521739132,0,-0.010828402366863912
opening_mean,agree_favorite,gap,0.04,97,-0.06793814432989691,-6.59,0.4536082474226804,2.1085051546391753,2,95,-0.09489473684210527,-9.015,0.47368421052631576,2.0426842105263163,1,-0.024829931972789116
opening_mean,agree_favorite,gap,0.05,77,0.012792207792207785,0.9849999999999994,0.4805194805194805,2.141688311688312,2,77,-0.11954545454545455,-9.205,0.45454545454545453,2.058896103896104,1,0.02775590551181102
opening_mean,agree_favorite,gap,0.075,43,0.12802325581395352,5.505000000000001,0.5116279069767442,2.2536046511627905,3,46,-0.09717391304347824,-4.469999999999999,0.45652173913043476,2.0588043478260865,1,0.08919354838709678
opening_mean,disagree_model_pick,edge,0.0,57,-0.060964912280701736,-3.4749999999999988,0.2982456140350877,3.1511403508771934,2,27,0.08944444444444445,2.415,0.37037037037037035,2.9114814814814816,2,-0.012476635514018678
opening_mean,disagree_model_pick,edge,0.025,55,-0.026818181818181797,-1.4749999999999988,0.3090909090909091,3.1616363636363634,2,25,0.17659999999999998,4.414999999999999,0.4,2.937199999999999,2,0.005952380952380964
opening_mean,disagree_model_pick,edge,0.05,53,-0.040094339622641494,-2.124999999999999,0.3018867924528302,3.178584905660377,2,22,-0.0334090909090909,-0.7349999999999999,0.3181818181818182,2.967272727272728,2,-0.000631067961165039
opening_mean,disagree_model_pick,edge,0.075,49,-0.0840816326530612,-4.119999999999999,0.2857142857142857,3.206530612244898,2,20,0.06325,1.2650000000000001,0.35,2.98775,2,-0.021616161616161606
opening_mean,disagree_model_pick,edge,0.1,46,-0.08663043478260868,-3.9849999999999994,0.2826086956521739,3.2301086956521736,2,16,0.15437500000000007,2.470000000000001,0.375,3.0221875000000002,2,-0.02151041666666666
opening_mean,disagree_model_pick,edge,0.15,39,-0.07666666666666665,-2.9899999999999993,0.28205128205128205,3.289358974358975,2,12,0.3125,3.75,0.4166666666666667,3.0191666666666666,2,-0.01359550561797752
opening_mean,disagree_model_pick,edge,0.2,32,-0.05937499999999998,-1.8999999999999995,0.28125,3.35203125,2,10,0.575,5.75,0.5,3.0334999999999996,2,-0.0031707317073170656
opening_mean,disagree_model_pick,gap,0.01,58,-0.029913793103448237,-1.7349999999999977,0.3103448275862069,3.1440517241379307,3,29,0.014310344827586209,0.41500000000000004,0.3448275862068966,2.899310344827586,2,0.013935185185185207
opening_mean,disagree_model_pick,gap,0.02,55,-0.026818181818181797,-1.4749999999999988,0.3090909090909091,3.1616363636363634,2,27,0.08944444444444445,2.415,0.37037037037037035,2.9114814814814816,2,0.005952380952380964
opening_mean,disagree_model_pick,gap,0.03,53,-0.09575471698113207,-5.074999999999999,0.2830188679245283,3.175283018867924,2,24,0.10895833333333334,2.615,0.375,2.9429166666666666,2,-0.029271844660194165
opening_mean,disagree_model_pick,gap,0.04,48,-0.065,-3.12,0.2916666666666667,3.2118750000000005,2,20,0.06325,1.2650000000000001,0.35,2.98775,2,-0.01183673469387755
opening_mean,disagree_model_pick,gap,0.05,44,-0.1121590909090909,-4.935,0.2727272727272727,3.2405681818181806,2,15,0.23133333333333334,3.47,0.4,3.0063333333333335,2,-0.0325
opening_mean,disagree_model_pick,gap,0.075,34,-0.11470588235294116,-3.8999999999999995,0.2647058823529412,3.3191176470588233,2,10,0.575,5.75,0.5,3.0334999999999996,2,-0.026428571428571423
opening_mean,fav_odds<2,edge,0.0,56,-0.13839285714285718,-7.750000000000002,0.5178571428571429,1.7079464285714288,2,46,0.0017391304347825812,0.07999999999999874,0.6086956521739131,1.662934782608696,2,-0.05311320754716982
opening_mean,fav_odds<2,edge,0.025,38,-0.10210526315789474,-3.88,0.5263157894736842,1.7317105263157893,2,37,-0.0248648648648649,-0.9200000000000013,0.5675675675675675,1.7086486486486485,2,-0.02409090909090909
opening_mean,fav_odds<2,gap,0.01,66,-0.06083333333333336,-4.0150000000000015,0.5757575757575758,1.6837878787878788,3,67,0.021641791044776097,1.4499999999999984,0.6417910447761194,1.6180597014925373,2,-0.004612068965517253
opening_mean,fav_odds<2,gap,0.02,56,-0.13839285714285718,-7.750000000000002,0.5178571428571429,1.7079464285714288,2,54,0.03787037037037034,2.044999999999998,0.6481481481481481,1.6294444444444447,3,-0.05311320754716982
